Topology = ring
Number of nodes = 100
Optimal number of ADMs = 81
80 Lightpaths:
[0, 73]
[73, 88]
[88, 93]
[93, 95]
[95, 96]
[96, 99]
[99, 0]
[1, 10]
[10, 62]
[62, 73]
[73, 83]
[83, 95]
[95, 99]
[99, 1]
[2, 68]
[68, 76]
[76, 82]
[82, 94]
[94, 1]
[1, 2]
[3, 98]
[98, 1]
[1, 3]
[4, 28]
[28, 95]
[95, 3]
[3, 4]
[5, 3]
[3, 5]
[6, 41]
[41, 87]
[87, 99]
[99, 4]
[4, 5]
[5, 6]
[7, 61]
[61, 3]
[3, 6]
[6, 7]
[8, 41]
[41, 8]
[9, 70]
[70, 96]
[96, 1]
[1, 5]
[5, 8]
[8, 9]
[10, 45]
[45, 83]
[83, 84]
[84, 96]
[96, 98]
[98, 3]
[3, 10]
[11, 53]
[53, 55]
[55, 83]
[83, 88]
[88, 99]
[99, 2]
[2, 6]
[6, 11]
[12, 16]
[16, 98]
[98, 9]
[9, 12]
[13, 56]
[56, 60]
[60, 92]
[92, 10]
[10, 13]
[14, 59]
[59, 78]
[78, 81]
[81, 7]
[7, 13]
[13, 14]
[15, 89]
[89, 1]
[1, 9]
