Topology = ring
Number of nodes = 100
Optimal number of ADMs = 161
160 Lightpaths:
[0, 28]
[28, 76]
[76, 97]
[97, 99]
[99, 0]
[1, 81]
[81, 92]
[92, 98]
[98, 99]
[99, 1]
[2, 98]
[98, 1]
[1, 2]
[3, 84]
[84, 99]
[99, 3]
[4, 99]
[99, 2]
[2, 4]
[5, 47]
[47, 82]
[82, 94]
[94, 99]
[6, 97]
[97, 98]
[98, 6]
[7, 53]
[53, 74]
[74, 97]
[97, 5]
[5, 7]
[8, 32]
[32, 88]
[88, 2]
[2, 7]
[7, 8]
[9, 39]
[39, 80]
[80, 86]
[86, 7]
[7, 9]
[10, 2]
[2, 6]
[6, 10]
[11, 4]
[4, 9]
[9, 11]
[12, 87]
[87, 91]
[91, 5]
[5, 11]
[11, 12]
[13, 69]
[69, 11]
[11, 13]
[14, 46]
[46, 52]
[52, 5]
[5, 9]
[9, 13]
[13, 14]
[15, 21]
[21, 99]
[99, 15]
[16, 99]
[99, 13]
[13, 16]
[17, 52]
[52, 59]
[59, 11]
[11, 15]
[15, 17]
[18, 67]
[67, 2]
[2, 3]
[3, 17]
[17, 18]
[19, 71]
[71, 10]
[10, 16]
[16, 18]
[18, 19]
[20, 84]
[84, 97]
[97, 1]
[1, 14]
[14, 20]
[21, 89]
[89, 97]
[97, 3]
[3, 15]
[15, 20]
[20, 21]
[22, 87]
[87, 15]
[15, 22]
[23, 85]
[85, 95]
[95, 96]
[96, 6]
[6, 14]
[14, 15]
[15, 19]
[19, 21]
[21, 23]
[24, 8]
[8, 13]
[13, 21]
[21, 24]
[25, 74]
[74, 9]
[9, 20]
[20, 25]
[26, 81]
[81, 82]
[82, 6]
[6, 26]
[27, 84]
[84, 9]
[9, 16]
[16, 24]
[24, 25]
[25, 26]
[26, 27]
[28, 68]
[68, 87]
[87, 20]
[20, 24]
[24, 26]
[26, 28]
[29, 95]
[95, 27]
[27, 29]
[30, 40]
[40, 5]
[5, 20]
[20, 27]
[27, 28]
[28, 29]
[29, 30]
[31, 16]
[16, 25]
[25, 28]
[28, 31]
[32, 86]
[86, 28]
[28, 30]
[30, 31]
[31, 32]
[33, 48]
[48, 66]
[66, 99]
[99, 12]
[12, 33]
[34, 65]
[65, 76]
[76, 98]
[98, 13]
[13, 31]
[31, 34]
