Topology = ring
Number of nodes = 100
Optimal number of ADMs = 131
130 Lightpaths:
[0, 89]
[89, 93]
[93, 95]
[95, 99]
[99, 0]
[1, 54]
[54, 63]
[63, 87]
[87, 94]
[94, 95]
[95, 1]
[2, 72]
[72, 95]
[95, 96]
[96, 1]
[1, 2]
[3, 76]
[76, 78]
[78, 79]
[79, 2]
[2, 3]
[4, 80]
[80, 2]
[2, 4]
[5, 92]
[92, 96]
[96, 4]
[4, 5]
[6, 51]
[51, 85]
[85, 93]
[93, 94]
[94, 96]
[96, 97]
[97, 1]
[1, 3]
[3, 5]
[5, 6]
[7, 57]
[57, 92]
[92, 2]
[2, 5]
[5, 7]
[8, 36]
[36, 46]
[46, 90]
[90, 99]
[99, 8]
[9, 37]
[37, 60]
[60, 70]
[70, 9]
[10, 9]
[9, 10]
[11, 88]
[88, 91]
[91, 6]
[6, 11]
[12, 81]
[81, 5]
[5, 8]
[8, 10]
[10, 11]
[11, 12]
[13, 63]
[63, 84]
[84, 4]
[4, 9]
[9, 12]
[12, 13]
[14, 75]
[75, 92]
[92, 95]
[95, 3]
[3, 10]
[10, 14]
[15, 16]
[16, 44]
[44, 10]
[10, 13]
[13, 15]
[16, 46]
[46, 6]
[6, 15]
[17, 34]
[34, 3]
[3, 12]
[12, 15]
[15, 17]
[18, 93]
[93, 12]
[12, 17]
[17, 18]
[19, 14]
[14, 16]
[16, 19]
[20, 54]
[54, 92]
[92, 99]
[99, 6]
[6, 19]
[19, 20]
[21, 56]
[56, 77]
[77, 21]
[22, 8]
[8, 11]
[11, 18]
[18, 20]
[20, 21]
[21, 22]
[23, 11]
[11, 20]
[20, 23]
[24, 29]
[29, 24]
[25, 42]
[42, 64]
[64, 76]
[76, 94]
[94, 97]
[97, 22]
[22, 23]
[23, 24]
[24, 25]
[26, 84]
[84, 16]
[16, 17]
[17, 24]
[24, 26]
