Topology = ring
Number of nodes = 70
Optimal number of ADMs = 101
100 Lightpaths:
[0, 62]
[62, 66]
[66, 67]
[67, 68]
[68, 69]
[69, 0]
[1, 67]
[67, 1]
[2, 15]
[15, 52]
[52, 69]
[69, 1]
[1, 2]
[3, 57]
[57, 60]
[60, 61]
[61, 68]
[68, 3]
[4, 44]
[44, 2]
[2, 4]
[5, 55]
[55, 62]
[62, 68]
[68, 1]
[1, 3]
[3, 4]
[4, 5]
[6, 48]
[48, 1]
[1, 6]
[7, 49]
[49, 6]
[6, 7]
[8, 7]
[7, 8]
[9, 55]
[55, 66]
[66, 9]
[10, 55]
[55, 9]
[9, 10]
[11, 8]
[8, 9]
[9, 11]
[12, 35]
[35, 40]
[40, 9]
[9, 12]
[13, 5]
[5, 11]
[11, 12]
[12, 13]
[14, 3]
[3, 12]
[12, 14]
[15, 53]
[53, 6]
[6, 11]
[11, 14]
[14, 15]
[16, 40]
[40, 8]
[8, 13]
[13, 16]
[17, 38]
[38, 61]
[61, 6]
[6, 8]
[8, 17]
[18, 17]
[17, 18]
[19, 35]
[35, 13]
[13, 18]
[18, 19]
[20, 46]
[46, 62]
[62, 3]
[3, 14]
[14, 19]
[19, 20]
[21, 18]
[18, 20]
[20, 21]
[22, 43]
[43, 11]
[11, 20]
[20, 22]
[23, 37]
[37, 4]
[4, 20]
[20, 23]
[24, 49]
[49, 50]
[50, 51]
[51, 20]
[20, 24]
[25, 47]
[47, 63]
