Topology = ring
Number of nodes = 90
Optimal number of ADMs = 101
100 Lightpaths:
[0, 17]
[17, 77]
[77, 83]
[83, 87]
[87, 88]
[88, 0]
[1, 39]
[39, 45]
[45, 61]
[61, 73]
[73, 75]
[75, 85]
[85, 86]
[86, 88]
[88, 89]
[89, 1]
[2, 77]
[77, 81]
[81, 1]
[1, 2]
[3, 29]
[29, 74]
[74, 3]
[4, 36]
[36, 38]
[38, 2]
[2, 4]
[5, 61]
[61, 87]
[87, 1]
[1, 4]
[4, 5]
[6, 1]
[1, 5]
[5, 6]
[7, 62]
[62, 6]
[6, 7]
[8, 49]
[49, 74]
[74, 84]
[84, 3]
[3, 7]
[7, 8]
[9, 43]
[43, 59]
[59, 83]
[83, 9]
[10, 56]
[56, 9]
[9, 10]
[11, 3]
[3, 9]
[9, 11]
[12, 53]
[53, 5]
[5, 7]
[7, 10]
[10, 11]
[11, 12]
[13, 27]
[27, 48]
[48, 4]
[4, 6]
[6, 8]
[8, 10]
[10, 13]
[14, 55]
[55, 60]
[60, 88]
[88, 7]
[7, 14]
[15, 58]
[58, 4]
[4, 8]
[8, 14]
[14, 15]
[16, 82]
[82, 5]
[5, 14]
[14, 16]
[17, 36]
[36, 15]
[15, 16]
[16, 17]
[18, 36]
[36, 39]
[39, 81]
[81, 11]
[11, 13]
[13, 15]
[15, 17]
[17, 18]
[19, 50]
[50, 9]
[9, 14]
[14, 19]
[20, 50]
[50, 6]
[6, 11]
