Topology = ring
Number of nodes = 70
Optimal number of ADMs = 66
65 Lightpaths:
[0, 13]
[13, 63]
[63, 0]
[1, 17]
[17, 64]
[64, 69]
[69, 1]
[2, 53]
[53, 63]
[63, 65]
[65, 2]
[3, 25]
[25, 61]
[61, 68]
[68, 1]
[1, 2]
[2, 3]
[4, 45]
[45, 52]
[52, 64]
[64, 3]
[3, 4]
[5, 39]
[39, 45]
[45, 59]
[59, 68]
[68, 69]
[69, 5]
[6, 67]
[67, 2]
[2, 6]
[7, 63]
[63, 67]
[67, 69]
[69, 4]
[4, 5]
[5, 7]
[8, 67]
[67, 8]
[9, 14]
[14, 8]
[8, 9]
[10, 12]
[12, 45]
[45, 54]
[54, 55]
[55, 61]
[61, 67]
[67, 4]
[4, 9]
[9, 10]
[11, 62]
[62, 5]
[5, 8]
[8, 11]
[12, 28]
[28, 11]
[11, 12]
[13, 34]
[34, 7]
[7, 10]
[10, 11]
[11, 13]
[14, 57]
[57, 6]
