Topology = ring
Number of nodes = 60
Optimal number of ADMs = 122
120 Lightpaths:
[0, 29]
[29, 56]
[56, 58]
[58, 59]
[59, 0]
[1, 27]
[27, 44]
[44, 1]
[2, 57]
[57, 59]
[59, 1]
[1, 2]
[3, 58]
[58, 1]
[1, 3]
[4, 5]
[5, 18]
[18, 48]
[48, 53]
[53, 57]
[57, 3]
[3, 4]
[5, 7]
[7, 48]
[48, 5]
[6, 14]
[14, 17]
[17, 40]
[40, 55]
[55, 58]
[58, 4]
[4, 6]
[7, 31]
[31, 5]
[5, 6]
[6, 7]
[8, 30]
[30, 6]
[6, 8]
[9, 24]
[24, 1]
[1, 7]
[7, 9]
[10, 15]
[15, 6]
[6, 9]
[9, 10]
[11, 18]
[18, 46]
[46, 57]
[57, 1]
[1, 6]
[6, 11]
[12, 56]
[56, 12]
[13, 2]
[2, 6]
[14, 37]
[37, 11]
[11, 14]
[15, 32]
[32, 48]
[48, 6]
[6, 13]
[13, 15]
[16, 3]
[3, 9]
[9, 15]
[15, 16]
[17, 54]
[54, 4]
[4, 8]
[8, 17]
[18, 26]
[26, 40]
[40, 4]
[4, 9]
[9, 16]
[16, 17]
[17, 18]
[19, 25]
[25, 44]
[44, 54]
[54, 13]
[13, 17]
[17, 19]
[20, 4]
[4, 17]
[17, 20]
[21, 57]
[57, 2]
[2, 15]
[15, 21]
[22, 8]
[8, 19]
[19, 20]
[20, 21]
[21, 22]
[23, 6]
[6, 15]
[15, 17]
[17, 22]
[22, 23]
[24, 19]
[19, 21]
[21, 24]
[25, 51]
[51, 8]
[8, 23]
[23, 25]
[26, 25]
[25, 26]
[27, 38]
[38, 20]
[20, 25]
[25, 27]
[28, 43]
[43, 53]
[53, 5]
[5, 23]
